variant,label,group,generated_entries,effective_entries,heldout_rmse_median,heldout_nrmse_median,heldout_mae_median,heldout_bias_median,heldout_abs_bias_median,heldout_residual_mad_median,heldout_cosine_median,heldout_r2_median,posterior_entropy_median,effective_k_median,b1000_nrmse_median,b1000_mae_median,b1000_bias_median,b1000_cosine_median,b2000_nrmse_median,b2000_mae_median,b2000_bias_median,b2000_cosine_median,b3000_nrmse_median,b3000_mae_median,b3000_bias_median,b3000_cosine_median,fa_abs_delta_vs_default_median_norm,md_abs_delta_vs_default_median_norm,rd_abs_delta_vs_default_median_norm,nd_abs_delta_vs_default_median_norm,dispersion_abs_delta_vs_default_median_norm,wm_fraction_abs_delta_vs_default_median_norm,gm_fraction_abs_delta_vs_default_median_norm,csf_fraction_abs_delta_vs_default_median_norm,num_fibers_abs_delta_vs_default_median_norm
default,Default,brain,120000,120000,0.02256707474589348,0.06877698749303818,0.01665516197681427,-0.005200644955039024,0.0053535387851297855,0.012143336236476898,0.9981900453567505,0.9611867666244507,3.729905605316162,41.67517852783203,0.053262919187545776,0.01922185719013214,-0.0059546236880123615,0.9993007779121399,0.06516169011592865,0.013714411295950413,-0.004222814925014973,0.9984171390533447,0.12373088300228119,0.014489593915641308,-0.005442631430923939,0.99427330493927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
widened_diffusivity,Widened diffusivity,brain,120000,120000,0.020971806719899178,0.06378258764743805,0.015525270253419876,-0.002673372160643339,0.0030790576711297035,0.011662058532238007,0.9981400966644287,0.9676896333694458,3.7900867462158203,44.26024627685547,0.04753081500530243,0.017347091808915138,-0.002801567781716585,0.99919593334198,0.06340249627828598,0.013727245852351189,-0.0005292876157909632,0.9983017444610596,0.12124387919902802,0.014588972553610802,-0.0053309546783566475,0.9943013191223145,0.01110289990901947,0.004987585823982954,0.0042062136344611645,0.05969575047492981,0.04333893954753876,0.0594610832631588,0.041773390024900436,0.02502283826470375,0.043871983885765076
broad_diffusivity,Broad diffusivity,brain,120000,120000,0.02153540775179863,0.06499023735523224,0.016078850254416466,-0.0021133983973413706,0.002735491143539548,0.012184731662273407,0.9980320930480957,0.966260552406311,3.774451732635498,43.57361602783203,0.04947521910071373,0.018120229244232178,-0.003229729598388076,0.9991039037704468,0.06552688032388687,0.014504976570606232,0.0007782335160300136,0.9981710314750671,0.11949844658374786,0.014756262302398682,-0.0043219393119215965,0.9942522048950195,0.017978470772504807,0.00582005362957716,0.005220490973442793,0.09212498366832733,0.06472665071487427,0.09414095431566238,0.0709027349948883,0.03735647723078728,0.05631248280405998
very_broad_diffusivity,Very broad diffusivity,brain,120000,120000,0.02219916321337223,0.06711166352033615,0.01680617779493332,-0.0018715034238994122,0.0026767950039356947,0.012824177742004395,0.9979068040847778,0.9636358618736267,3.7544751167297363,42.7117919921875,0.05192069336771965,0.019144829362630844,-0.003924335353076458,0.9990084171295166,0.06874066591262817,0.015219902619719505,0.001232479466125369,0.9979715943336487,0.11919382214546204,0.015137293376028538,-0.0035858112387359142,0.9940693378448486,0.025664519518613815,0.006686205975711346,0.005899122450500727,0.1061726063489914,0.07721011340618134,0.11121843755245209,0.09287828207015991,0.043556854128837585,0.0568716935813427
narrowed_diffusivity,Narrowed diffusivity,brain,120000,120000,0.024487623944878578,0.07499969750642776,0.018345125019550323,-0.007335389498621225,0.007418509107083082,0.013210564851760864,0.9981290102005005,0.9540582895278931,3.736599922180176,41.955101013183594,0.05949052423238754,0.02167336642742157,-0.009681545197963715,0.9993575811386108,0.06754717230796814,0.014213327318429947,-0.006420383229851723,0.9985010623931885,0.12466534972190857,0.014576452784240246,-0.004508979618549347,0.9942469000816345,0.00801283959299326,0.0056256987154483795,0.004570958204567432,0.031498514115810394,0.026223035529255867,0.031048327684402466,0.027669932693243027,0.01112109050154686,0.029237914830446243
limited_csf,Limited CSF fraction,brain,120000,16794,0.02889655902981758,0.0818304568529129,0.021736888214945793,-0.0035282874014228582,0.009005667641758919,0.015748485922813416,0.9975780248641968,0.9435847401618958,3.3365488052368164,28.121902465820312,0.06593389809131622,0.026403209194540977,-0.0026705688796937466,0.9991662502288818,0.0714985653758049,0.015418477356433868,-0.0032719792798161507,0.9980790615081787,0.13318029046058655,0.016629040241241455,-0.007162931375205517,0.9936535358428955,0.011441713199019432,0.00621071457862854,0.0055044833570718765,0.027774956077337265,0.02864891104400158,0.03403301537036896,0.03378191590309143,0.03225097060203552,0.03882835805416107
no_crossing,No crossing fibers,brain,120000,12075,0.031070522964000702,0.09641553461551666,0.02459004335105419,-0.010359168983995914,0.010419812053442001,0.01653818041086197,0.9965611696243286,0.9250859022140503,2.5748131275177,13.128864288330078,0.0691259354352951,0.025288578122854233,-0.005946787539869547,0.998882532119751,0.0992216020822525,0.02152661420404911,-0.010312285274267197,0.9968768954277039,0.1752312034368515,0.024512620642781258,-0.016270045191049576,0.9903762340545654,0.06541091203689575,0.007314710877835751,0.01630185917019844,0.06275887042284012,0.08792419731616974,0.07541855424642563,0.07762699574232101,0.01451384648680687,0.9144601821899414
default_size_matched_to_limited_csf,Default size-matched to Limited CSF fraction,brain,120000,16794,0.025742005556821823,0.07952718436717987,0.019608307629823685,-0.0064677344635128975,0.006952562369406223,0.014105670154094696,0.9977715015411377,0.9479804039001465,3.37538480758667,29.23552894592285,0.06388577073812485,0.02308392897248268,-0.007987955585122108,0.9990997314453125,0.07665779441595078,0.016024019569158554,-0.005508847534656525,0.9979209303855896,0.13416001200675964,0.01608433946967125,-0.006383078172802925,0.9933378100395203,0.009260961785912514,0.004393580369651318,0.0043167294934391975,0.01360265538096428,0.013420136645436287,0.015255426056683064,0.01913149654865265,0.00981786660850048,0.03269391134381294
default_size_matched_to_no_crossing,Default size-matched to No crossing fibers,brain,120000,12075,0.025913488119840622,0.08054138720035553,0.019832350313663483,-0.006693316623568535,0.0071530938148498535,0.014542832970619202,0.9976674318313599,0.9474321603775024,3.273773193359375,26.410804748535156,0.06522324681282043,0.023638088256120682,-0.008830143138766289,0.9990665316581726,0.07751818001270294,0.0161745548248291,-0.005554954521358013,0.9978362917900085,0.13478058576583862,0.01642177812755108,-0.005898400209844112,0.9932549595832825,0.010677462443709373,0.004765151534229517,0.00475608604028821,0.016618313267827034,0.01673167571425438,0.019260002300143242,0.022179201245307922,0.00883697159588337,0.0349377878010273
